year,WO,US,CN,JP,KR,EP,IN,sum
2020,873,1751,3818,64,213,112,119,6950
2019,1035,3870,3681,447,643,270,96,10042
2018,728,3180,3101,386,557,204,46,8202
2017,435,2450,1998,273,297,121,37,5611
2016,262,1612,959,216,165,76,25,3315
2015,193,1216,371,175,76,50,20,2101
2014,167,953,155,121,56,28,6,1486
2013,159,836,197,148,62,22,5,1429
2012,124,602,192,117,55,22,5,1117
2011,110,421,103,97,31,22,2,786
2010,68,320,35,90,38,11,2,564
2009,83,303,32,93,23,9,1,544
2008,44,290,35,187,39,9,1,605
2007,89,278,23,124,19,28,1,562
2006,92,348,30,253,31,26,2,782
2005,57,323,21,283,22,39,1,746
2004,72,263,10,298,21,43,0,707
2003,53,247,7,261,20,33,1,622
2002,65,225,7,235,10,33,0,575
2001,118,264,4,249,6,49,0,690
2000,101,129,7,188,5,69,0,499
